class,stop_id,image,success,candidate_count,score,area_ratio,aspect_ratio,rectangularity,white_ratio,dark_ring_ratio
free,stop_001,free/stop_001/0002.jpg,True,1,10.268145,0.061774,1.493248,0.876617,0.758224,0.176867
free,stop_002,free/stop_002/0007.jpg,True,1,10.123400,0.057025,1.544981,0.894687,0.764545,0.160106
free,stop_003,free/stop_003/0012.jpg,True,1,10.370585,0.072562,1.520052,0.874553,0.736293,0.284375
free,stop_004,free/stop_004/0017.jpg,True,1,10.365467,0.081868,1.484663,0.876502,0.759105,0.217898
free,stop_005,free/stop_005/0022.jpg,True,1,10.080308,0.094183,1.449915,0.911218,0.758139,0.101948
free,stop_006,free/stop_006/0027.jpg,True,1,10.106351,0.094504,1.462095,0.899844,0.764801,0.102841
free,stop_007,free/stop_007/0032.jpg,True,1,10.126761,0.082008,1.463324,0.897376,0.768026,0.099148
free,stop_008,free/stop_008/0037.jpg,True,1,10.150988,0.128257,1.502353,0.869538,0.752940,0.197281
free,stop_009,free/stop_009/0042.jpg,True,1,10.030083,0.130514,1.462165,0.897129,0.761747,0.101339
free,stop_010,free/stop_010/0047.jpg,True,1,10.131491,0.099689,1.465742,0.880318,0.751648,0.136445
free,stop_011,free/stop_011/0052.jpg,True,1,10.179927,0.079471,1.476902,0.907560,0.766974,0.096591
free,stop_012,free/stop_012/0057.jpg,True,1,10.158915,0.056271,1.456995,0.902087,0.750597,0.122808
busy_5,stop_001,busy_5/stop_001/0002.jpg,True,1,10.200783,0.054958,1.472094,0.897554,0.769759,0.111201
busy_5,stop_002,busy_5/stop_002/0007.jpg,True,1,10.185874,0.071064,1.471603,0.896834,0.766335,0.113920
busy_5,stop_003,busy_5/stop_003/0012.jpg,True,1,10.158568,0.081779,1.468428,0.912365,0.771435,0.095698
busy_5,stop_004,busy_5/stop_004/0017.jpg,True,1,10.026855,0.090591,1.451047,0.877169,0.748594,0.108036
busy_5,stop_005,busy_5/stop_005/0022.jpg,True,1,10.079675,0.082155,1.442682,0.899209,0.764716,0.104464
busy_5,stop_006,busy_5/stop_006/0027.jpg,True,1,9.934788,0.115327,1.434252,0.902426,0.764190,0.073295
