task,split,label,source_class,stop_id,source_path,output_path,roi_x,roi_y,roi_width,roi_height
status,train,idle,free,stop_001,free/stop_001/0000.jpg,status/train/idle/free__stop_001__0000.png,229,91,108,59
status,train,idle,free,stop_001,free/stop_001/0001.jpg,status/train/idle/free__stop_001__0001.png,229,91,108,59
status,train,idle,free,stop_001,free/stop_001/0002.jpg,status/train/idle/free__stop_001__0002.png,229,91,108,59
status,train,idle,free,stop_001,free/stop_001/0003.jpg,status/train/idle/free__stop_001__0003.png,229,91,108,59
status,train,idle,free,stop_001,free/stop_001/0004.jpg,status/train/idle/free__stop_001__0004.png,229,91,108,59
status,train,idle,free,stop_002,free/stop_002/0005.jpg,status/train/idle/free__stop_002__0005.png,229,91,108,59
status,train,idle,free,stop_002,free/stop_002/0006.jpg,status/train/idle/free__stop_002__0006.png,229,91,108,59
status,train,idle,free,stop_002,free/stop_002/0007.jpg,status/train/idle/free__stop_002__0007.png,229,91,108,59
status,train,idle,free,stop_002,free/stop_002/0008.jpg,status/train/idle/free__stop_002__0008.png,229,91,108,59
status,train,idle,free,stop_002,free/stop_002/0009.jpg,status/train/idle/free__stop_002__0009.png,229,91,108,59
status,train,idle,free,stop_003,free/stop_003/0010.jpg,status/train/idle/free__stop_003__0010.png,229,91,108,59
status,train,idle,free,stop_003,free/stop_003/0011.jpg,status/train/idle/free__stop_003__0011.png,229,91,108,59
status,train,idle,free,stop_003,free/stop_003/0012.jpg,status/train/idle/free__stop_003__0012.png,229,91,108,59
status,train,idle,free,stop_003,free/stop_003/0013.jpg,status/train/idle/free__stop_003__0013.png,229,91,108,59
status,train,idle,free,stop_003,free/stop_003/0014.jpg,status/train/idle/free__stop_003__0014.png,229,91,108,59
status,train,idle,free,stop_005,free/stop_005/0020.jpg,status/train/idle/free__stop_005__0020.png,229,91,108,59
status,train,idle,free,stop_005,free/stop_005/0021.jpg,status/train/idle/free__stop_005__0021.png,229,91,108,59
status,train,idle,free,stop_005,free/stop_005/0022.jpg,status/train/idle/free__stop_005__0022.png,229,91,108,59
status,train,idle,free,stop_005,free/stop_005/0023.jpg,status/train/idle/free__stop_005__0023.png,229,91,108,59
status,train,idle,free,stop_005,free/stop_005/0024.jpg,status/train/idle/free__stop_005__0024.png,229,91,108,59
