class,stop_id,frame_in_stop,filename,relative_path,width,height
free,stop_001,1,0000.jpg,free/stop_001/0000.jpg,640,480
free,stop_001,2,0001.jpg,free/stop_001/0001.jpg,640,480
free,stop_001,3,0002.jpg,free/stop_001/0002.jpg,640,480
free,stop_001,4,0003.jpg,free/stop_001/0003.jpg,640,480
free,stop_001,5,0004.jpg,free/stop_001/0004.jpg,640,480
free,stop_002,1,0005.jpg,free/stop_002/0005.jpg,640,480
free,stop_002,2,0006.jpg,free/stop_002/0006.jpg,640,480
free,stop_002,3,0007.jpg,free/stop_002/0007.jpg,640,480
free,stop_002,4,0008.jpg,free/stop_002/0008.jpg,640,480
free,stop_002,5,0009.jpg,free/stop_002/0009.jpg,640,480
free,stop_003,1,0010.jpg,free/stop_003/0010.jpg,640,480
free,stop_003,2,0011.jpg,free/stop_003/0011.jpg,640,480
free,stop_003,3,0012.jpg,free/stop_003/0012.jpg,640,480
free,stop_003,4,0013.jpg,free/stop_003/0013.jpg,640,480
free,stop_003,5,0014.jpg,free/stop_003/0014.jpg,640,480
free,stop_004,1,0015.jpg,free/stop_004/0015.jpg,640,480
free,stop_004,2,0016.jpg,free/stop_004/0016.jpg,640,480
free,stop_004,3,0017.jpg,free/stop_004/0017.jpg,640,480
free,stop_004,4,0018.jpg,free/stop_004/0018.jpg,640,480
free,stop_004,5,0019.jpg,free/stop_004/0019.jpg,640,480
free,stop_005,1,0020.jpg,free/stop_005/0020.jpg,640,480
free,stop_005,2,0021.jpg,free/stop_005/0021.jpg,640,480
free,stop_005,3,0022.jpg,free/stop_005/0022.jpg,640,480
free,stop_005,4,0023.jpg,free/stop_005/0023.jpg,640,480
free,stop_005,5,0024.jpg,free/stop_005/0024.jpg,640,480
free,stop_006,1,0025.jpg,free/stop_006/0025.jpg,640,480
free,stop_006,2,0026.jpg,free/stop_006/0026.jpg,640,480
free,stop_006,3,0027.jpg,free/stop_006/0027.jpg,640,480
free,stop_006,4,0028.jpg,free/stop_006/0028.jpg,640,480
free,stop_006,5,0029.jpg,free/stop_006/0029.jpg,640,480
free,stop_007,1,0030.jpg,free/stop_007/0030.jpg,640,480
free,stop_007,2,0031.jpg,free/stop_007/0031.jpg,640,480
free,stop_007,3,0032.jpg,free/stop_007/0032.jpg,640,480
free,stop_007,4,0033.jpg,free/stop_007/0033.jpg,640,480
free,stop_007,5,0034.jpg,free/stop_007/0034.jpg,640,480
free,stop_008,1,0035.jpg,free/stop_008/0035.jpg,640,480
free,stop_008,2,0036.jpg,free/stop_008/0036.jpg,640,480
free,stop_008,3,0037.jpg,free/stop_008/0037.jpg,640,480
free,stop_008,4,0038.jpg,free/stop_008/0038.jpg,640,480
free,stop_008,5,0039.jpg,free/stop_008/0039.jpg,640,480
free,stop_009,1,0040.jpg,free/stop_009/0040.jpg,640,480
free,stop_009,2,0041.jpg,free/stop_009/0041.jpg,640,480
free,stop_009,3,0042.jpg,free/stop_009/0042.jpg,640,480
free,stop_009,4,0043.jpg,free/stop_009/0043.jpg,640,480
free,stop_009,5,0044.jpg,free/stop_009/0044.jpg,640,480
free,stop_010,1,0045.jpg,free/stop_010/0045.jpg,640,480
free,stop_010,2,0046.jpg,free/stop_010/0046.jpg,640,480
free,stop_010,3,0047.jpg,free/stop_010/0047.jpg,640,480
free,stop_010,4,0048.jpg,free/stop_010/0048.jpg,640,480
free,stop_010,5,0049.jpg,free/stop_010/0049.jpg,640,480
free,stop_011,1,0050.jpg,free/stop_011/0050.jpg,640,480
free,stop_011,2,0051.jpg,free/stop_011/0051.jpg,640,480
free,stop_011,3,0052.jpg,free/stop_011/0052.jpg,640,480
free,stop_011,4,0053.jpg,free/stop_011/0053.jpg,640,480
free,stop_011,5,0054.jpg,free/stop_011/0054.jpg,640,480
free,stop_012,1,0055.jpg,free/stop_012/0055.jpg,640,480
free,stop_012,2,0056.jpg,free/stop_012/0056.jpg,640,480
free,stop_012,3,0057.jpg,free/stop_012/0057.jpg,640,480
free,stop_012,4,0058.jpg,free/stop_012/0058.jpg,640,480
free,stop_012,5,0059.jpg,free/stop_012/0059.jpg,640,480
busy_5,stop_001,1,0000.jpg,busy_5/stop_001/0000.jpg,640,480
busy_5,stop_001,2,0001.jpg,busy_5/stop_001/0001.jpg,640,480
busy_5,stop_001,3,0002.jpg,busy_5/stop_001/0002.jpg,640,480
busy_5,stop_001,4,0003.jpg,busy_5/stop_001/0003.jpg,640,480
busy_5,stop_001,5,0004.jpg,busy_5/stop_001/0004.jpg,640,480
busy_5,stop_002,1,0005.jpg,busy_5/stop_002/0005.jpg,640,480
busy_5,stop_002,2,0006.jpg,busy_5/stop_002/0006.jpg,640,480
busy_5,stop_002,3,0007.jpg,busy_5/stop_002/0007.jpg,640,480
