epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.13265,1.66689,0.16667,1,2.32936,7e-05,7e-05,0.09307
2,5.63212,0.92173,0.18333,1,1.59896,0.000148515,0.000148515,0.0851485
3,6.07866,0.31332,0.85,1,0.52799,0.000225446,0.000225446,0.0772254
4,6.46373,0.04315,1,1,0.04255,0.000300793,0.000300793,0.0693008
5,6.85087,0.00779,1,1,0.01462,0.000374556,0.000374556,0.0613746
6,7.23245,0.00343,1,1,0.00225,0.000446735,0.000446735,0.0534467
7,7.58462,0.00102,1,1,0.00027,0.00051733,0.00051733,0.0455173
8,7.93332,0.00221,1,1,8e-05,0.000586341,0.000586341,0.0375863
9,8.29901,0.00108,1,1,5e-05,0.000653768,0.000653768,0.0296538
10,8.7408,0.00023,1,1,3e-05,0.000719611,0.000719611,0.0217196
11,9.17842,0.00019,1,1,2e-05,0.00078387,0.00078387,0.0137839
12,9.61538,0.00036,1,1,1e-05,0.000846545,0.000846545,0.00584655
13,10.044,0.0001,1,1,1e-05,0.0008812,0.0008812,0.0008812
14,10.4783,9e-05,1,1,1e-05,0.0008713,0.0008713,0.0008713
15,10.9127,0.00168,1,1,1e-05,0.0008614,0.0008614,0.0008614
16,11.3482,0.00307,1,1,0,0.0008515,0.0008515,0.0008515
17,11.7834,9e-05,1,1,1e-05,0.0008416,0.0008416,0.0008416
18,12.2124,0.00071,1,1,1e-05,0.0008317,0.0008317,0.0008317
19,12.5513,0.00093,1,1,1e-05,0.0008218,0.0008218,0.0008218
20,12.8954,0.00014,1,1,1e-05,0.0008119,0.0008119,0.0008119
21,13.2377,0.00015,1,1,1e-05,0.000802,0.000802,0.000802
22,13.585,0.00325,1,1,1e-05,0.0007921,0.0007921,0.0007921
23,13.9261,0.00024,1,1,5e-05,0.0007822,0.0007822,0.0007822
24,14.2753,0.00029,1,1,0.00017,0.0007723,0.0007723,0.0007723
