class,stop_id,filename,success,reason,candidate_count,score,area_ratio,aspect_ratio,rectangularity,white_ratio,dark_ring_ratio,output_path
free,stop_001,0000.jpg,True,,1,10.254705,0.062456,1.506367,0.886294,0.761491,0.179180,results/rectified_dataset/images/free/stop_001/0000.jpg
free,stop_001,0001.jpg,True,,1,10.278545,0.062630,1.499478,0.888766,0.756165,0.183401,results/rectified_dataset/images/free/stop_001/0001.jpg
free,stop_001,0002.jpg,True,,1,10.268145,0.061774,1.493248,0.876617,0.758224,0.176867,results/rectified_dataset/images/free/stop_001/0002.jpg
free,stop_001,0003.jpg,True,,1,10.218054,0.062646,1.518359,0.888997,0.760227,0.176907,results/rectified_dataset/images/free/stop_001/0003.jpg
free,stop_001,0004.jpg,True,,1,10.248480,0.061893,1.503024,0.878303,0.756747,0.180844,results/rectified_dataset/images/free/stop_001/0004.jpg
free,stop_002,0005.jpg,True,,1,10.305882,0.057417,1.469350,0.893036,0.754602,0.182427,results/rectified_dataset/images/free/stop_002/0005.jpg
free,stop_002,0006.jpg,True,,1,10.306814,0.057004,1.489712,0.889006,0.756818,0.182914,results/rectified_dataset/images/free/stop_002/0006.jpg
free,stop_002,0007.jpg,True,,1,10.123400,0.057025,1.544981,0.894687,0.764545,0.160106,results/rectified_dataset/images/free/stop_002/0007.jpg
free,stop_002,0008.jpg,True,,1,10.284812,0.057262,1.500830,0.892274,0.757514,0.184821,results/rectified_dataset/images/free/stop_002/0008.jpg
free,stop_002,0009.jpg,True,,1,10.242478,0.057471,1.512741,0.892884,0.760028,0.178328,results/rectified_dataset/images/free/stop_002/0009.jpg
free,stop_003,0010.jpg,True,,1,10.387737,0.072562,1.506851,0.873195,0.739688,0.272565,results/rectified_dataset/images/free/stop_003/0010.jpg
free,stop_003,0011.jpg,True,,1,10.392043,0.072435,1.506433,0.869806,0.735952,0.279464,results/rectified_dataset/images/free/stop_003/0011.jpg
free,stop_003,0012.jpg,True,,1,10.370585,0.072562,1.520052,0.874553,0.736293,0.284375,results/rectified_dataset/images/free/stop_003/0012.jpg
free,stop_003,0013.jpg,True,,1,10.383675,0.072407,1.515243,0.872881,0.735909,0.285593,results/rectified_dataset/images/free/stop_003/0013.jpg
free,stop_003,0014.jpg,True,,1,10.418975,0.072456,1.494064,0.870555,0.735170,0.275284,results/rectified_dataset/images/free/stop_003/0014.jpg
free,stop_004,0015.jpg,True,,1,10.330628,0.081761,1.500053,0.874947,0.763693,0.221347,results/rectified_dataset/images/free/stop_004/0015.jpg
free,stop_004,0016.jpg,True,,1,10.245377,0.082100,1.447423,0.881143,0.742585,0.203166,results/rectified_dataset/images/free/stop_004/0016.jpg
free,stop_004,0017.jpg,True,,1,10.365467,0.081868,1.484663,0.876502,0.759105,0.217898,results/rectified_dataset/images/free/stop_004/0017.jpg
free,stop_004,0018.jpg,True,,1,10.354836,0.081717,1.487876,0.872387,0.758736,0.220536,results/rectified_dataset/images/free/stop_004/0018.jpg
free,stop_004,0019.jpg,True,,1,10.365568,0.081906,1.484663,0.878717,0.758636,0.216640,results/rectified_dataset/images/free/stop_004/0019.jpg
free,stop_005,0020.jpg,True,,1,10.070395,0.093846,1.449915,0.901824,0.758707,0.103612,results/rectified_dataset/images/free/stop_005/0020.jpg
free,stop_005,0021.jpg,True,,1,10.127851,0.094139,1.460073,0.910793,0.762713,0.109253,results/rectified_dataset/images/free/stop_005/0021.jpg
free,stop_005,0022.jpg,True,,1,10.080308,0.094183,1.449915,0.911218,0.758139,0.101948,results/rectified_dataset/images/free/stop_005/0022.jpg
free,stop_005,0023.jpg,True,,1,10.062963,0.093965,1.449915,0.900211,0.758395,0.101339,results/rectified_dataset/images/free/stop_005/0023.jpg
free,stop_005,0024.jpg,True,,1,10.121516,0.094469,1.463473,0.904957,0.763153,0.105276,results/rectified_dataset/images/free/stop_005/0024.jpg
free,stop_006,0025.jpg,True,,1,10.151124,0.094121,1.465230,0.902287,0.765185,0.118628,results/rectified_dataset/images/free/stop_006/0025.jpg
free,stop_006,0026.jpg,True,,1,10.120278,0.093730,1.460073,0.900714,0.760980,0.114326,results/rectified_dataset/images/free/stop_006/0026.jpg
free,stop_006,0027.jpg,True,,1,10.106351,0.094504,1.462095,0.899844,0.764801,0.102841,results/rectified_dataset/images/free/stop_006/0027.jpg
