epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.92077,0.64097,0.31429,1,0.80846,3e-05,3e-05,0.09703
2,5.28917,0.37392,0.68571,1,0.60547,6.9307e-05,6.9307e-05,0.0930693
3,5.59786,0.1468,0.94286,1,0.23757,0.000107822,0.000107822,0.0891078
4,5.89666,0.03083,0.95714,1,0.12395,0.000145545,0.000145545,0.0851455
5,6.22178,0.01861,1,1,0.00529,0.000182476,0.000182476,0.0811825
6,6.50956,0.17469,1,1,0.00033,0.000218615,0.000218615,0.0772186
7,6.78978,0.30138,1,1,0.00038,0.000253962,0.000253962,0.073254
8,7.09749,0.00476,1,1,0.00013,0.000288517,0.000288517,0.0692885
9,7.39921,0.01316,1,1,2e-05,0.00032228,0.00032228,0.0653223
10,7.69107,0.06944,1,1,0.00034,0.000355251,0.000355251,0.0613553
11,7.97732,0.01599,0.95714,1,0.12184,0.00038743,0.00038743,0.0573874
12,8.25832,0.02089,0.95714,1,0.14189,0.000418817,0.000418817,0.0534188
13,8.52522,0.00058,0.97143,1,0.08669,0.000449412,0.000449412,0.0494494
14,8.77729,0.0411,0.98571,1,0.02245,0.000479215,0.000479215,0.0454792
15,9.03336,0.00139,1,1,0.00575,0.000508226,0.000508226,0.0415082
16,9.30273,0.0046,1,1,0.00062,0.000536445,0.000536445,0.0375364
17,9.56863,0.00178,1,1,7e-05,0.000563872,0.000563872,0.0335639
18,9.83994,0.01551,1,1,3e-05,0.000590507,0.000590507,0.0295905
19,10.1057,0.00017,1,1,3e-05,0.00061635,0.00061635,0.0256163
20,10.3147,0.00599,1,1,3e-05,0.000641401,0.000641401,0.0216414
21,10.5225,0.00012,1,1,1e-05,0.00066566,0.00066566,0.0176657
22,10.734,0.00427,1,1,2e-05,0.000689127,0.000689127,0.0136891
23,10.9414,0.00143,1,1,1e-05,0.000711802,0.000711802,0.0097118
24,11.1487,0.0186,1,1,0,0.000733685,0.000733685,0.00573369
25,11.3582,0.08198,1,1,1e-05,0.000754776,0.000754776,0.00175478
